time,open,high,low,close
-4323290638,20.65,20.65,20.65,20.65
-4291754638,20.65,20.65,20.65,20.65
-4260218638,20.65,20.65,20.65,20.65
-4228682638,20.65,20.65,20.65,20.65
-4196973838,20.65,20.65,20.65,20.65
-4165524238,20.65,20.65,20.65,20.65
-4070829838,20.65,20.65,20.65,20.65
-4039121038,20.65,20.65,20.65,20.65
-4007671438,20.65,20.65,20.65,20.65
-3976221838,20.65,20.65,20.65,20.65
-3913063438,20.65,20.65,20.65,20.65
-3881527438,20.65,20.65,20.65,20.65
-3849818638,20.65,20.65,20.65,20.65
-3818369038,20.65,20.65,20.65,20.65
-3723761038,20.65,20.65,20.65,20.65
-3691965838,20.65,20.65,20.65,20.65
-3660516238,20.65,20.65,20.65,20.65
-3629066638,20.65,20.65,20.65,20.65
-3565908238,20.65,20.65,20.65,20.65
-3534372238,20.65,20.65,20.65,20.65
-3502663438,20.65,20.65,20.65,20.65
-3471213838,20.65,20.65,20.65,20.65
-3376605838,20.65,20.65,20.65,20.65
-3345069838,20.65,20.65,20.65,20.65
-3313361038,20.65,20.65,20.65,20.65
-3281911438,20.65,20.65,20.65,20.65
-3187217038,20.65,20.65,20.65,20.65
-3155508238,20.65,20.65,20.65,20.65
-3124058638,20.65,20.65,20.65,20.65
-3092609038,20.66,20.66,20.66,20.66
-3029450638,20.66,20.66,20.66,20.66
-2997914638,20.66,20.66,20.66,20.66
-2966205838,20.66,20.66,20.66,20.66
-2934756238,20.66,20.66,20.66,20.66
-2840148238,20.66,20.66,20.66,20.66
-2808353038,20.66,20.66,20.66,20.66
-2776903438,20.66,20.66,20.66,20.66
-2745453838,20.66,20.66,20.66,20.66
-2682295200,20.66,20.66,20.66,20.66
-2650759200,20.65,20.65,20.65,20.65
-2619050400,20.65,20.65,20.65,20.65
-2587600800,20.65,20.65,20.65,20.65
-2492992800,20.68,20.68,20.68,20.68
-2461456800,20.68,20.68,20.68,20.68
-2429748000,20.68,20.68,20.68,20.68
-2398298400,20.66,20.66,20.66,20.66
-2303604000,20.71,20.71,20.71,20.71
-2271895200,20.71,20.71,20.71,20.71
-2240445600,20.66,20.66,20.66,20.66
-2208996000,20.68,20.68,20.68,20.68
-2114388000,20.67,20.67,20.67,20.67
-2082852000,20.68,20.68,20.68,20.68
-2051143200,20.54,20.54,20.54,20.54
-2019693600,20.62,20.62,20.62,20.62
-1924999200,20.68,20.68,20.68,20.68
-1893290400,20.64,20.64,20.64,20.64
-1861840800,20.64,20.64,20.64,20.64
-1830391200,20.65,20.65,20.65,20.65
-1767232800,20.72,20.72,20.72,20.72
-1735696800,20.72,20.72,20.72,20.72
-1703988000,20.72,20.72,20.72,20.72
-1672538400,20.72,20.72,20.72,20.72
-1577930400,20.68,20.68,20.68,20.68
-1546135200,20.69,20.69,20.58,20.58
-1543716000,20.69,20.69,20.69,20.69
-1541296800,20.69,20.69,20.69,20.69
-1538877600,20.69,20.69,20.69,20.69
-1535857200,20.69,20.69,20.69,20.69
-1533438000,20.69,20.69,20.69,20.69
-1531018800,20.69,20.69,20.69,20.69
-1527994800,20.69,20.69,20.69,20.69
-1525575600,20.69,20.69,20.69,20.69
-1522548000,20.69,20.69,20.69,20.69
-1520128800,20.69,20.69,20.69,20.69
-1517709600,20.69,20.69,20.69,20.69
-1514685600,20.84,20.84,20.84,20.84
-1512266400,20.84,20.84,20.84,20.84
-1509847200,20.84,20.84,20.84,20.84
-1506823200,20.84,20.84,20.84,20.84
-1504407600,20.84,20.84,20.84,20.84
-1501988400,20.84,20.84,20.84,20.84
-1498964400,20.84,20.84,20.84,20.84
-1496545200,20.84,20.84,20.84,20.84
-1494126000,20.84,20.84,20.84,20.84
-1491098400,20.84,20.84,20.84,20.84
-1488679200,20.84,20.84,20.84,20.84
-1486260000,20.84,20.84,20.84,20.84
-1483236000,20.75,20.75,20.75,20.75
-1480816800,20.75,20.75,20.75,20.75
-1478397600,20.75,20.75,20.75,20.75
-1475373600,20.75,20.75,20.75,20.75
-1472958000,20.75,20.75,20.75,20.75
-1470538800,20.75,20.75,20.75,20.75
-1467514800,20.75,20.75,20.75,20.75
-1465095600,20.75,20.75,20.75,20.75
-1462071600,20.75,20.75,20.75,20.75
-1459648800,20.75,20.75,20.75,20.75
-1457229600,20.75,20.75,20.75,20.75
-1454205600,20.75,20.75,20.75,20.75
-1451700000,20.78,20.78,20.78,20.78
-1449280800,20.78,20.78,20.78,20.78
-1446861600,20.78,20.78,20.78,20.78
-1443837600,20.78,20.78,20.78,20.78
-1441422000,20.78,20.78,20.78,20.78
-1438398000,20.78,20.78,20.78,20.78
-1435978800,20.78,20.78,20.78,20.78
-1433559600,20.78,20.78,20.78,20.78
-1431140400,20.78,20.78,20.78,20.78
