time,open,high,low,close
1085346000,78.34,78.34,76.275,77.275
1086555600,77.275,77.46,74.79,74.995
1087765200,74.985,77.265,74.655,77.265
1088974800,77.255,79.565,77.255,79.565
1090184400,79.625,79.625,77.58,78.245
1091394000,78.155,79.39,77.88,79.375
1092603600,78.975,79.34,77.065,77.065
1093813200,76.865,77.03,75.51,76.265
1095022800,76.245,79.05,76.245,79.035
1096232400,79.005,80.985,79.005,80.475
1097442000,80.725,80.725,78.79,79.245
1098651600,79.545,80.545,79.185,80.545
1099864800,80.485,81.53,79.96,80.775
1101074400,80.815,81.21,79.44,79.785
1102284000,79.775,79.85,78.86,79.635
1103493600,79.365,80.395,79.365,80.135
1104703200,80.195,80.46,77.14,77.425
1105912800,77.485,80.32,77.01,80.045
1107122400,80.145,83.2,79.865,83.095
1108332000,82.855,83.545,82.05,82.755
1109541600,82.835,83.67,81.52,82.455
1110751200,82.325,83.32,81.53,82.065
1111960800,82.125,83.85,82.095,83.535
1113166800,83.515,83.93,82.05,82.805
1114376400,82.315,82.78,81.01,81.445
1115586000,81.425,82.29,80.66,81.775
1116795600,81.695,82.47,81.14,81.465
1118005200,81.395,84.78,81.33,84.455
1119214800,84.535,85.02,83.65,84.055
1120424400,84.015,84.54,82.68,84.055
1121634000,84.045,85.7,83.885,85.105
1122843600,85.115,86.375,84.41,84.435
1124053200,84.575,84.72,82.66,83.325
1125262800,83.295,85.52,82.95,85.015
1126472400,84.505,86.07,84.495,85.165
1127682000,85.115,87.36,84.79,86.145
1128891600,86.005,87.07,85.59,86.795
1130101200,86.705,87.62,86.31,86.755
1131314400,86.565,87.455,85.87,87.325
1132524000,87.335,90.34,87.2,90.225
1133733600,90.445,91.36,85.95,86.015
1134943200,86.045,86.95,84.54,86.305
1136152800,86.305,87.01,85.55,86.235
1137362400,86.185,88.22,85.67,87.925
1138572000,87.965,89.43,86.64,86.935
1139781600,86.865,87.92,85.99,86.435
1140991200,86.335,87.41,85.5,87.105
1142200800,87.065,87.56,83.165,83.255
1143410400,83.325,86.33,82.11,85.895
1144616400,85.735,87.87,85.705,86.755
1145826000,86.325,87.81,85.06,86.975
1147035600,86.555,86.72,83.63,84.675
1148245200,84.545,85.81,83.53,84.035
1149454800,83.925,85.66,83.5,85.015
1150664400,85.045,85.49,84.36,85.015
1151874000,85.035,87.8,84.825,87.445
1153083600,87.495,88.89,87.18,87.995
1154293200,87.995,89.25,87.22,89.125
1155502800,89.015,89.38,87.68,88.815
1156712400,88.735,89.87,87.8,88.165
1157922000,88.075,89.26,87.27,87.455
1159131600,87.375,88.41,87.3,88.385
1160341200,88.285,90.085,88.16,90.075
1161550800,90.105,90.97,89.915,90.845
1162764000,90.905,91.27,89.8,90.545
1163973600,90.655,91.85,89.89,91.065
1165183200,91.175,92.47,90.08,92.295
1166392800,92.215,94.21,91.94,93.895
1167602400,93.895,95,92.01,94.305
1168812000,94.425,96.45,93.63,94.025
1170021600,93.975,94.82,93.11,94.495
1171231200,94.505,95.94,93.42,95.855
