time,open,high,low,close
1020632400,0.5397,0.5448,0.5395,0.5448
1021237200,0.5444,0.5528,0.5444,0.5528
1021842000,0.5526,0.55895,0.5526,0.5566
1022446800,0.5568,0.5674,0.5568,0.5674
1023051600,0.5674,0.5759,0.5674,0.5759
1023656400,0.5713,0.5713,0.5604,0.5604
1024261200,0.5608,0.5748,0.5588,0.5748
1024866000,0.5744,0.5744,0.55965,0.5638
1025470800,0.5644,0.5644,0.5562,0.5573
1026075600,0.5577,0.5674,0.5574,0.5587
1026680400,0.5587,0.5601,0.5513,0.5568
1027285200,0.5565,0.5565,0.5362,0.5362
1027890000,0.5364,0.54365,0.5364,0.5393
1028494800,0.5391,0.5391,0.5279,0.5356
1029099600,0.5347,0.5459,0.5347,0.5459
1029704400,0.5459,0.5465,0.5411,0.5432
1030309200,0.5448,0.5536,0.5447,0.5507
1030914000,0.55,0.5515,0.5428,0.5428
1031518800,0.5473,0.5523,0.5473,0.5498
1032123600,0.5504,0.5504,0.5459,0.5459
1032728400,0.5462,0.5462,0.5438,0.5438
1033333200,0.5433,0.5464,0.5429,0.5464
1033938000,0.5467,0.5499,0.5463,0.5495
1034542800,0.5473,0.5509,0.5467,0.5501
1035147600,0.5506,0.5556,0.5506,0.5556
1035756000,0.5558,0.5591,0.5533,0.5591
1036360800,0.5593,0.5665,0.5593,0.5646
1036965600,0.564,0.564,0.5599,0.5636
1037570400,0.5635,0.5635,0.5588,0.5634
1038175200,0.5636,0.5636,0.5565,0.5606
1038780000,0.5607,0.5613,0.559,0.5607
1039384800,0.5622,0.566,0.5593,0.5649
1039989600,0.5655,0.5669,0.5628,0.5628
1040594400,0.5636,0.56405,0.5609,0.5609
1041199200,0.5611,0.5672,0.5611,0.5672
1041804000,0.5671,0.5837,0.5671,0.5837
1042408800,0.5827,0.5918,0.5827,0.5918
1043013600,0.5916,0.5926,0.5862,0.5926
1043618400,0.5914,0.5914,0.587,0.587
1044223200,0.5869,0.5917,0.5847,0.5904
1044828000,0.5909,0.5957,0.5893,0.592
1045432800,0.5913,0.5985,0.5897,0.5974
1046037600,0.5972,0.6083,0.5972,0.6083
1046642400,0.6078,0.6166,0.6078,0.6138
1047247200,0.6126,0.6147,0.5947,0.5983
1047852000,0.5971,0.5971,0.5897,0.5908
1048456800,0.5919,0.6014,0.5919,0.6009
1049061600,0.6008,0.6045,0.6008,0.6009
1049662800,0.5989,0.6062,0.5989,0.6054
1050267600,0.6047,0.6146,0.6047,0.6146
1050872400,0.6147,0.6212,0.61435,0.6166
1051477200,0.6163,0.6316,0.6163,0.6316
1052082000,0.6306,0.6443,0.6306,0.6443
1052686800,0.6459,0.6531,0.6408,0.6531
1053291600,0.6593,0.6604,0.6543,0.6604
1053896400,0.659,0.65995,0.6511,0.6528
1054501200,0.6507,0.6651,0.6507,0.6585
1055106000,0.6587,0.6684,0.65665,0.6684
1055710800,0.6683,0.67335,0.66775,0.6684
1056315600,0.6678,0.6687,0.66375,0.6665
1056920400,0.6668,0.68135,0.6668,0.6791
1057525200,0.6792,0.6792,0.6574,0.6593
1058130000,0.6574,0.65925,0.648,0.648
1058734800,0.6468,0.66615,0.6468,0.6632
1059339600,0.6631,0.66325,0.64875,0.6516
1059944400,0.652,0.6526,0.64615,0.6526
1060549200,0.6519,0.6601,0.6519,0.6601
1061154000,0.6603,0.66065,0.6526,0.6526
1061758800,0.6514,0.6514,0.63935,0.6472
1062363600,0.6481,0.6481,0.63665,0.6478
1062968400,0.6482,0.6635,0.6482,0.6635
1063573200,0.6632,0.6727,0.6631,0.6727
1064178000,0.6756,0.6791,0.6738,0.6738
1064782800,0.6751,0.68635,0.6751,0.6792
1065387600,0.6778,0.6917,0.6778,0.6917
1065992400,0.6921,0.6926,0.6882,0.6926
1066597200,0.6951,0.70485,0.69135,0.6995
1067205600,0.6992,0.7079,0.6992,0.7079
1067810400,0.7075,0.7091,0.6985,0.7091
1068415200,0.7092,0.7205,0.7092,0.7204
1069020000,0.7204,0.7237,0.7117,0.7237
1069624800,0.7233,0.7242,0.718,0.7242
1070229600,0.7235,0.7366,0.7235,0.7366
1070834400,0.7365,0.7426,0.7365,0.7426
1071439200,0.73815,0.7437,0.7369,0.7369
1072044000,0.7386,0.7419,0.7336,0.741
1072648800,0.7422,0.7586,0.7422,0.7586
1073253600,0.7579,0.7768,0.7579,0.7768
1073858400,0.7769,0.7785,0.7637,0.7637
1074463200,0.7634,0.7779,0.7552,0.7727
1075068000,0.7708,0.779,0.7609,0.7641
1075672800,0.7647,0.7702,0.7582,0.7702
1076277600,0.7673,0.79,0.7673,0.79
1076882400,0.7893,0.7983,0.7703,0.7703
1077487200,0.7691,0.7801,0.7691,0.774
1078092000,0.773,0.773,0.7499,0.7609
1078696800,0.7607,0.7607,0.7321,0.7321
1079301600,0.7377,0.7515,0.7372,0.7484
1079906400,0.7482,0.7535,0.7384,0.7467
1080511200,0.7462,0.7681,0.7462,0.7571
1081112400,0.7557,0.7662,0.7541,0.7634
1081717200,0.7631,0.76615,0.7348,0.7441
1082322000,0.7449,0.7467,0.7305,0.7338
1082926800,0.7313,0.735,0.7209,0.7209
1083531600,0.7218,0.7328,0.7036,0.7036
1084136400,0.7018,0.7018,0.6886,0.6916
1084741200,0.6917,0.6979,0.6858,0.6979
1085346000,0.6974,0.71705,0.6971,0.7146
1085950800,0.7146,0.71525,0.6887,0.6956
1086555600,0.69675,0.7072,0.69015,0.6919
1087160400,0.6927,0.69765,0.68205,0.6888
1087765200,0.6893,0.7007,0.6877,0.7007
1088370000,0.7004,0.7134,0.6902,0.7134
1088974800,0.7133,0.72325,0.71175,0.7221
1089579600,0.7233,0.7322,0.7227,0.7322
1090184400,0.7321,0.7321,0.7094,0.7094
1090789200,0.7093,0.7093,0.69945,0.7028
1091394000,0.7039,0.7137,0.70345,0.7137
1091998800,0.7144,0.717,0.71325,0.717
1092603600,0.7158,0.72475,0.71565,0.7239
1093208400,0.7238,0.7238,0.7027,0.7027
1093813200,0.7013,0.7042,0.6913,0.6913
1094418000,0.6918,0.6965,0.6884,0.6953
1095022800,0.6963,0.702,0.6955,0.698
1095627600,0.6984,0.7145,0.6984,0.7145
1096232400,0.7148,0.7277,0.7136,0.726
1096837200,0.7236,0.7349,0.7216,0.7349
1097442000,0.73675,0.73675,0.7261,0.7313
1098046800,0.731,0.7373,0.7253,0.7373
1098651600,0.7418,0.7467,0.7418,0.7467
1099260000,0.7486,0.7627,0.7468,0.7627
1099864800,0.7636,0.7697,0.7573,0.7697
1100469600,0.7696,0.7836,0.7696,0.7836
1101074400,0.7841,0.79135,0.7826,0.7907
1101679200,0.7902,0.7902,0.7721,0.7816
1102284000,0.7819,0.7819,0.7512,0.7512
1102888800,0.7494,0.7639,0.7494,0.7638
1103493600,0.7636,0.7689,0.7636,0.7689
1104098400,0.7696,0.7825,0.7696,0.7825
1104703200,0.7806,0.7839,0.754,0.7575
1105308000,0.7575,0.7698,0.7551,0.7588
1105912800,0.7595,0.7716,0.7505,0.7694
1106517600,0.7691,0.7803,0.7629,0.775
1107122400,0.7738,0.7789,0.7674,0.7704
1107727200,0.7688,0.7864,0.7613,0.786
1108332000,0.7858,0.7898,0.7788,0.7885
1108936800,0.7889,0.7959,0.7807,0.7864
1109541600,0.7869,0.7945,0.7772,0.7908
1110146400,0.7897,0.7989,0.7873,0.7931
1110751200,0.7929,0.7958,0.7861,0.795
1111356000,0.7939,0.7941,0.7699,0.7715
1111960800,0.7715,0.7777,0.76695,0.7712
1112562000,0.7702,0.77365,0.7626,0.7717
1113166800,0.7716,0.7804,0.7652,0.7684
1113771600,0.7687,0.7832,0.7636,0.7813
1114376400,0.7816,0.7841,0.77435,0.7813
1114981200,0.7804,0.7828,0.77235,0.7753
1115586000,0.7746,0.7792,0.7603,0.7614
1116190800,0.7616,0.762,0.7531,0.7561
1116795600,0.7549,0.7648,0.7544,0.7631
1117400400,0.7612,0.7634,0.7476,0.7565
1118005200,0.7558,0.7705,0.7553,0.7613
1118610000,0.7624,0.7783,0.7591,0.7779
1119214800,0.77695,0.781,0.7666,0.7694
1119819600,0.769,0.7704,0.7496,0.7519
1120424400,0.7527,0.7528,0.7367,0.7419
1121029200,0.7427,0.7576,0.742,0.7495
1121634000,0.7484,0.7689,0.7476,0.7633
1122238800,0.7622,0.7649,0.753,0.7566
1122843600,0.7561,0.7742,0.7552,0.7684
1123448400,0.7679,0.7756,0.7586,0.7718
1124053200,0.7727,0.7744,0.7497,0.7514
1124658000,0.7517,0.7615,0.7511,0.756
1125262800,0.756,0.7666,0.7458,0.7651
1125867600,0.7646,0.7757,0.7637,0.7751
1126472400,0.7752,0.7761,0.7643,0.7678
1127077200,0.7659,0.7731,0.7571,0.7571
1127682000,0.757,0.7643,0.7531,0.762
1128286800,0.7625,0.7645,0.7553,0.7569
1128891600,0.7562,0.7607,0.7463,0.7523
