time,open,high,low,close
1020027600,0.5397,0.5448,0.5395,0.5448
1021237200,0.5444,0.55895,0.5444,0.5566
1022446800,0.5568,0.5759,0.5568,0.5759
1023656400,0.5713,0.5748,0.5588,0.5748
1024866000,0.5744,0.5744,0.5562,0.5573
1026075600,0.5577,0.5674,0.5513,0.5568
1027285200,0.5565,0.5565,0.5362,0.5393
1028494800,0.5391,0.5459,0.5279,0.5459
1029704400,0.5459,0.5536,0.5411,0.5507
1030914000,0.55,0.5523,0.5428,0.5498
1032123600,0.5504,0.5504,0.5438,0.5438
1033333200,0.5433,0.5499,0.5429,0.5495
1034542800,0.5473,0.5556,0.5467,0.5556
1035756000,0.5558,0.5665,0.5533,0.5646
1036965600,0.564,0.564,0.5588,0.5634
1038175200,0.5636,0.5636,0.5565,0.5607
1039384800,0.5622,0.5669,0.5593,0.5628
1040594400,0.5636,0.5672,0.5609,0.5672
1041804000,0.5671,0.5918,0.5671,0.5918
1043013600,0.5916,0.5926,0.5862,0.587
1044223200,0.5869,0.5957,0.5847,0.592
1045432800,0.5913,0.6083,0.5897,0.6083
1046642400,0.6078,0.6166,0.5947,0.5983
1047852000,0.5971,0.6014,0.5897,0.6009
1049061600,0.6008,0.6062,0.5989,0.6054
1050267600,0.6047,0.6212,0.6047,0.6166
1051477200,0.6163,0.6443,0.6163,0.6443
1052686800,0.6459,0.6604,0.6408,0.6604
1053896400,0.659,0.6651,0.6507,0.6585
1055106000,0.6587,0.67335,0.65665,0.6684
1056315600,0.6678,0.68135,0.66375,0.6791
1057525200,0.6792,0.6792,0.648,0.648
1058734800,0.6468,0.66615,0.6468,0.6516
1059944400,0.652,0.6601,0.64615,0.6601
1061154000,0.6603,0.66065,0.63935,0.6472
1062363600,0.6481,0.6635,0.63665,0.6635
1063573200,0.6632,0.6791,0.6631,0.6738
1064782800,0.6751,0.6917,0.6751,0.6917
1065992400,0.6921,0.70485,0.6882,0.6995
1067205600,0.6992,0.7091,0.6985,0.7091
1068415200,0.7092,0.7237,0.7092,0.7237
1069624800,0.7233,0.7366,0.718,0.7366
1070834400,0.7365,0.7437,0.7365,0.7369
1072044000,0.7386,0.7586,0.7336,0.7586
1073253600,0.7579,0.7785,0.7579,0.7637
1074463200,0.7634,0.779,0.7552,0.7641
1075672800,0.7647,0.79,0.7582,0.79
1076882400,0.7893,0.7983,0.7691,0.774
1078092000,0.773,0.773,0.7321,0.7321
1079301600,0.7377,0.7535,0.7372,0.7467
1080511200,0.7462,0.7681,0.7462,0.7634
1081717200,0.7631,0.76615,0.7305,0.7338
1082926800,0.7313,0.735,0.7036,0.7036
1084136400,0.7018,0.7018,0.6858,0.6979
1085346000,0.6974,0.71705,0.6887,0.6956
1086555600,0.69675,0.7072,0.68205,0.6888
1087765200,0.6893,0.7134,0.6877,0.7134
1088974800,0.7133,0.7322,0.71175,0.7322
1090184400,0.7321,0.7321,0.69945,0.7028
1091394000,0.7039,0.717,0.70345,0.717
1092603600,0.7158,0.72475,0.7027,0.7027
1093813200,0.7013,0.7042,0.6884,0.6953
1095022800,0.6963,0.7145,0.6955,0.7145
1096232400,0.7148,0.7349,0.7136,0.7349
1097442000,0.73675,0.7373,0.7253,0.7373
1098651600,0.7418,0.7627,0.7418,0.7627
1099864800,0.7636,0.7836,0.7573,0.7836
1101074400,0.7841,0.79135,0.7721,0.7816
1102284000,0.7819,0.7819,0.7494,0.7638
1103493600,0.7636,0.7825,0.7636,0.7825
1104703200,0.7806,0.7839,0.754,0.7588
1105912800,0.7595,0.7803,0.7505,0.775
1107122400,0.7738,0.7864,0.7613,0.786
1108332000,0.7858,0.7959,0.7788,0.7864
1109541600,0.7869,0.7989,0.7772,0.7931
1110751200,0.7929,0.7958,0.7699,0.7715
1111960800,0.7715,0.7777,0.7626,0.7717
1113166800,0.7716,0.7832,0.7636,0.7813
1114376400,0.7816,0.7841,0.77235,0.7753
1115586000,0.7746,0.7792,0.7531,0.7561
1116795600,0.7549,0.7648,0.7476,0.7565
1118005200,0.7558,0.7783,0.7553,0.7779
1119214800,0.77695,0.781,0.7496,0.7519
1120424400,0.7527,0.7576,0.7367,0.7495
1121634000,0.7484,0.7689,0.7476,0.7566
1122843600,0.7561,0.7756,0.7552,0.7718
1124053200,0.7727,0.7744,0.7497,0.756
1125262800,0.756,0.7757,0.7458,0.7751
1126472400,0.7752,0.7761,0.7571,0.7571
1127682000,0.757,0.7645,0.7531,0.7569
1128891600,0.7562,0.7607,0.7439,0.7489
1130101200,0.7481,0.7602,0.7312,0.7332
1131314400,0.732,0.738,0.7262,0.7332
1132524000,0.7325,0.7491,0.7321,0.748
1133733600,0.7471,0.7579,0.74195,0.7437
1134943200,0.7444,0.747,0.72345,0.7329
1136152800,0.7329,0.7567,0.7315,0.7557
1137362400,0.7546,0.7576,0.74435,0.7495
1138572000,0.7499,0.7589,0.7367,0.7377
1139781600,0.7376,0.7443,0.7344,0.7394
1140991200,0.7388,0.7486,0.73025,0.7319
1142200800,0.7325,0.7412,0.7061,0.7087
1143410400,0.7089,0.7345,0.70145,0.7261
1144616400,0.7257,0.74845,0.7238,0.7441
1145826000,0.7466,0.7744,0.7419,0.7726
1147035600,0.7726,0.7793,0.7524,0.7582
1148245200,0.7567,0.76535,0.744,0.7521
1149454800,0.7517,0.7547,0.7346,0.738
1150664400,0.7384,0.7451,0.727,0.7429
1151874000,0.7434,0.7567,0.74,0.7533
1153083600,0.7532,0.7676,0.7406,0.7675
1154293200,0.7674,0.7716,0.7566,0.7662
1155502800,0.7654,0.77,0.7552,0.7572
1156712400,0.757,0.7721,0.753,0.754
1157922000,0.7535,0.7579,0.7482,0.7506
1159131600,0.7499,0.7558,0.7417,0.7426
1160341200,0.7423,0.7605,0.7416,0.7586
1161550800,0.7587,0.7767,0.7559,0.7698
1162764000,0.7699,0.776,0.7616,0.769
1163973600,0.7691,0.7926,0.7677,0.7889
1165183200,0.7899,0.793,0.7795,0.7817
1166392800,0.7816,0.79235,0.7781,0.7888
1167602400,0.7888,0.7979,0.7761,0.7838
1168812000,0.7843,0.7937,0.772,0.7739
1170021600,0.7737,0.7821,0.7697,0.7764
1171231200,0.7759,0.7924,0.7708,0.7917
1172440800,0.7912,0.7947,0.7682,0.7801
1173646800,0.7816,0.8091,0.7798,0.8049
1174856400,0.8057,0.821,0.80285,0.81624
1176066000,0.8164,0.83925,0.81495,0.83761
1177275600,0.8376,0.83778,0.81715,0.82142
1178485200,0.82153,0.83525,0.82031,0.82283
1179694800,0.82453,0.8331,0.8163,0.8331
1180904400,0.83285,0.8477,0.83105,0.84213
1182114000,0.8399,0.85218,0.83555,0.84928
1183323600,0.8491,0.87176,0.84905,0.8712
1184533200,0.8709,0.88719,0.85111,0.85188
1185742800,0.8507,0.86625,0.84001,0.8445
1186952400,0.8452,0.85066,0.76735,0.82721
1188162000,0.8287,0.83349,0.80517,0.8266
1189371600,0.8262,0.870255,0.81725,0.86662
1190581200,0.86664,0.9006,0.86116,0.89753
1191790800,0.8995,0.90785,0.88163,0.89034
1193000400,0.89134,0.93482,0.87507,0.92319
1194213600,0.9212,0.94006,0.87533,0.89295
1195423200,0.89625,0.89983,0.86534,0.8843
1196632800,0.88299,0.8908,0.86037,0.8607
1197842400,0.86265,0.879205,0.85545,0.87616
1199052000,0.87709,0.88505,0.87006,0.87216
1199656800,0.87167,0.90181,0.86842,0.87913
1200866400,0.87905,0.90471,0.85145,0.90425
1202076000,0.90325,0.91006,0.88747,0.90904
1203285600,0.90822,0.94978,0.90698,0.93088
1204495200,0.93316,0.94725,0.91492,0.93729
1205701200,0.93795,0.94479,0.89538,0.9173
1206910800,0.91624,0.93462,0.903005,0.92787
1208120400,0.92705,0.95423,0.9206,0.93335
1209330000,0.9335,0.95066,0.92755,0.94344
1210539600,0.94053,0.96547,0.92912,0.95915
1211749200,0.95935,0.96427,0.94844,0.96266
1212958800,0.9615,0.96472,0.93278,0.95334
1214168400,0.95379,0.96677,0.94936,0.96345
1215378000,0.96275,0.98503,0.94767,0.97023
1216587600,0.97286,0.97933,0.92859,0.92912
1217797200,0.92881,0.93465,0.859295,0.86618
1219006800,0.86678,0.8813,0.84938,0.85794
1220216400,0.85653,0.858065,0.790055,0.8237
1221426000,0.8205,0.85201,0.780135,0.83105
1222635600,0.8277,0.83315,0.63245,0.64325
1223845200,0.67248,0.723815,0.60518,0.62252
1225054800,0.6187,0.70146,0.60093,0.6743
1226268000,0.68625,0.69871,0.607455,0.6326
1227477600,0.63335,0.661845,0.62315,0.64635
1228687200,0.64865,0.713825,0.64548,0.68025
1229896800,0.68345,0.71187,0.67566,0.71115
1231106400,0.7117,0.72696,0.653725,0.67323
1232316000,0.67658,0.68431,0.634605,0.63557
1233525600,0.63655,0.684945,0.624885,0.65677
1234735200,0.65165,0.655535,0.6331,0.63893
1235944800,0.6393,0.66047,0.62857,0.65812
1237150800,0.65484,0.7095,0.65279,0.69415
1238360400,0.68967,0.72307,0.67703,0.71957
1239570000,0.72715,0.732855,0.69532,0.7233
1240779600,0.72207,0.77088,0.698965,0.76865
1241989200,0.76893,0.78683,0.74508,0.78277
1243198800,0.78075,0.82648,0.77027,0.79325
1244408400,0.79581,0.823765,0.78284,0.8064
1245618000,0.805,0.815585,0.778975,0.7969
1246827600,0.79476,0.80722,0.770315,0.80241
1248037200,0.80092,0.83662,0.80042,0.83585
1249246800,0.8357,0.84784,0.81804,0.8326
1250456400,0.8288,0.84719,0.81562,0.841
1251666000,0.84151,0.86759,0.824065,0.86336
1252875600,0.86229,0.8789,0.85442,0.86801
1254085200,0.86855,0.90908,0.856895,0.90372
1255294800,0.9042,0.932815,0.898385,0.92243
1256504400,0.92037,0.92769,0.89068,0.91888
1257717600,0.92274,0.94061,0.906095,0.91464
1258927200,0.91486,0.93221,0.89468,0.91468
1260136800,0.9132,0.91955,0.88108,0.88999
1261346400,0.89096,0.9012,0.87349,0.89775
1262556000,0.89856,0.932995,0.89389,0.92271
1263765600,0.92086,0.92796,0.88339,0.88374
