time,open,high,low,close
1019422800,0.5397,0.5448,0.5395,0.5448
1021237200,0.5444,0.5674,0.5444,0.5674
1023051600,0.5674,0.5759,0.5588,0.5748
1024866000,0.5744,0.5744,0.5562,0.5587
1026680400,0.5587,0.5601,0.5362,0.5393
1028494800,0.5391,0.5465,0.5279,0.5432
1030309200,0.5448,0.5536,0.5428,0.5498
1032123600,0.5504,0.5504,0.5429,0.5464
1033938000,0.5467,0.5556,0.5463,0.5556
1035756000,0.5558,0.5665,0.5533,0.5636
1037570400,0.5635,0.5636,0.5565,0.5607
1039384800,0.5622,0.5669,0.5593,0.5609
1041199200,0.5611,0.5672,0.5611,0.5672
1041804000,0.5671,0.5926,0.5671,0.5926
1043618400,0.5914,0.5957,0.5847,0.592
1045432800,0.5913,0.6166,0.5897,0.6138
1047247200,0.6126,0.6147,0.5897,0.6009
1049061600,0.6008,0.6146,0.5989,0.6146
1050872400,0.6147,0.6443,0.61435,0.6443
1052686800,0.6459,0.6604,0.6408,0.6528
1054501200,0.6507,0.67335,0.6507,0.6684
1056315600,0.6678,0.68135,0.6574,0.6593
1058130000,0.6574,0.66615,0.6468,0.6516
1059944400,0.652,0.66065,0.64615,0.6526
1061758800,0.6514,0.6635,0.63665,0.6635
1063573200,0.6632,0.68635,0.6631,0.6792
1065387600,0.6778,0.70485,0.6778,0.6995
1067205600,0.6992,0.7205,0.6985,0.7204
1069020000,0.7204,0.7366,0.7117,0.7366
1070834400,0.7365,0.7437,0.7336,0.741
1072648800,0.7422,0.7586,0.7422,0.7586
1073253600,0.7579,0.7785,0.7552,0.7727
1075068000,0.7708,0.79,0.7582,0.79
1076882400,0.7893,0.7983,0.7499,0.7609
1078696800,0.7607,0.7607,0.7321,0.7467
1080511200,0.7462,0.7681,0.7348,0.7441
1082322000,0.7449,0.7467,0.7036,0.7036
1084136400,0.7018,0.71705,0.6858,0.7146
1085950800,0.7146,0.71525,0.68205,0.6888
1087765200,0.6893,0.72325,0.6877,0.7221
1089579600,0.7233,0.7322,0.69945,0.7028
1091394000,0.7039,0.72475,0.70345,0.7239
1093208400,0.7238,0.7238,0.6884,0.6953
1095022800,0.6963,0.7277,0.6955,0.726
1096837200,0.7236,0.7373,0.7216,0.7373
1098651600,0.7418,0.7697,0.7418,0.7697
1100469600,0.7696,0.79135,0.7696,0.7816
1102284000,0.7819,0.7819,0.7494,0.7689
1104098400,0.7696,0.7825,0.7696,0.7825
