time,open,high,low,close
1085346000,1.9279,1.98005,1.9279,1.97425
1086555600,1.9726,1.9726,1.9061,1.93665
1087765200,1.93585,1.9372,1.8974,1.90265
1088974800,1.90205,1.90205,1.8767,1.88885
1090184400,1.88655,1.9217,1.8849,1.88715
1091394000,1.8895,1.8895,1.85685,1.85685
1092603600,1.86245,1.8649,1.83175,1.83915
1093813200,1.83975,1.8768,1.83975,1.87275
1095022800,1.86965,1.86965,1.83565,1.83565
1096232400,1.83755,1.8468,1.81075,1.81075
1097442000,1.81575,1.82545,1.81335,1.8223
1098651600,1.8204,1.86565,1.8204,1.8653
1099864800,1.8634,1.88615,1.8353,1.8375
1101074400,1.8354,1.8657,1.8354,1.8657
1102284000,1.862,1.8827,1.8612,1.8612
1103493600,1.8652,1.905,1.8652,1.8894
1104703200,1.8854,1.9033,1.8673,1.8749
1105912800,1.8738,1.88695,1.8147,1.829
1107122400,1.8339,1.8391,1.7991,1.8017
1108332000,1.8041,1.837,1.7946,1.8335
1109541600,1.8352,1.8365,1.793,1.819
1110751200,1.8205,1.8227,1.7803,1.814
1111960800,1.8148,1.83385,1.7956,1.8055
1113166800,1.8052,1.8222,1.7695,1.7846
1114376400,1.7838,1.7999,1.7455,1.7484
1115586000,1.7505,1.7919,1.7479,1.7711
1116795600,1.7736,1.7761,1.7418,1.7478
1118005200,1.7484,1.7495,1.6878,1.7133
1119214800,1.7056,1.75715,1.6878,1.74855
1120424400,1.74705,1.805,1.74535,1.78485
1121634000,1.78905,1.8003,1.75525,1.78105
1122843600,1.78415,1.79605,1.7538,1.759
1124053200,1.7596,1.7699,1.7435,1.7678
1125262800,1.7685,1.78345,1.7529,1.7529
1126472400,1.7498,1.76045,1.7236,1.74985
1127682000,1.75455,1.77205,1.7056,1.7435
1128891600,1.74395,1.74535,1.704,1.7073
1130101200,1.7072,1.74685,1.6991,1.72825
1131314400,1.73225,1.7868,1.6854,1.71285
1132524000,1.71485,1.71975,1.6395,1.6435
1133733600,1.6419,1.74595,1.6341,1.73895
