time,open,high,low,close
1085346000,2.5614,2.67235,2.5614,2.6453
1086555600,2.6423,2.6897,2.6036,2.66885
1087765200,2.66695,2.66695,2.5662,2.5662
1088974800,2.5681,2.5825,2.5582,2.5582
1090184400,2.5574,2.60755,2.5466,2.5891
1091394000,2.5894,2.5976,2.54965,2.5709
1092603600,2.5747,2.5747,2.5142,2.5485
1093813200,2.5537,2.59445,2.5488,2.5838
1095022800,2.5815,2.5815,2.5177,2.5274
1096232400,2.5266,2.5349,2.4418,2.4418
1097442000,2.4372,2.481,2.4372,2.4696
1098651600,2.4647,2.46565,2.4335,2.4335
1099864800,2.4289,2.45065,2.3706,2.3706
1101074400,2.3702,2.48675,2.3702,2.4862
1102284000,2.486,2.55445,2.486,2.5407
1103493600,2.5468,2.5468,2.452,2.452
1104703200,2.4589,2.48185,2.43865,2.4652
1105912800,2.4619,2.48305,2.42155,2.4361
1107122400,2.4389,2.45075,2.37255,2.3774
1108332000,2.3787,2.44405,2.372,2.4409
1109541600,2.4375,2.45865,2.41145,2.4282
1110751200,2.4288,2.44015,2.39685,2.4244
1111960800,2.4244,2.46425,2.4145,2.4434
1113166800,2.443,2.49845,2.42645,2.4503
1114376400,2.4502,2.45885,2.42645,2.4389
1115586000,2.4406,2.44745,2.41345,2.4165
1116795600,2.4193,2.42495,2.38795,2.4
1118005200,2.3992,2.40095,2.34475,2.3536
1119214800,2.3497,2.38415,2.33605,2.3508
1120424400,2.3465,2.37985,2.33325,2.3376
1121634000,2.3403,2.34205,2.26655,2.3233
1122843600,2.3231,2.35325,2.29835,2.3514
1124053200,2.351,2.39405,2.34285,2.3812
1125262800,2.3841,2.41175,2.3721,2.373
1126472400,2.374,2.38,2.33825,2.3451
1127682000,2.33965,2.35375,2.29585,2.3269
1128891600,2.3274,2.37175,2.30625,2.3616
1130101200,2.3608,2.39945,2.34745,2.3865
1131314400,2.3888,2.39285,2.33835,2.3429
1132524000,2.3446,2.34595,2.314,2.3166
1133733600,2.3183,2.3882,2.30115,2.3836
1134943200,2.3767,2.399,2.33935,2.3511
1136152800,2.3489,2.36615,2.33055,2.352
1137362400,2.3548,2.38425,2.3331,2.3581
1138572000,2.3586,2.36915,2.34315,2.3646
1139781600,2.3648,2.37445,2.33635,2.361
1140991200,2.361,2.37305,2.33585,2.3585
1142200800,2.3566,2.46175,2.35165,2.458
1143410400,2.4586,2.48485,2.385,2.3993
1144616400,2.4015,2.41795,2.37575,2.3954
1145826000,2.3931,2.42065,2.36705,2.4066
1147035600,2.4084,2.48795,2.3974,2.4792
1148245200,2.4805,2.51545,2.44605,2.5023
1149454800,2.5061,2.51735,2.4556,2.5077
1150664400,2.5069,2.5127,2.46295,2.4879
1151874000,2.4847,2.4896,2.4274,2.4407
1153083600,2.4411,2.47365,2.42445,2.428
1154293200,2.4282,2.51505,2.4275,2.4665
1155502800,2.4709,2.4995,2.4628,2.4921
1156712400,2.4943,2.5038,2.44935,2.4738
1157922000,2.4758,2.5355,2.4733,2.5316
1159131600,2.5331,2.54215,2.49725,2.519
1160341200,2.5191,2.52215,2.4657,2.4827
1161550800,2.4825,2.4831,2.45935,2.4697
1162764000,2.4707,2.4992,2.4552,2.4636
1163973600,2.4641,2.5137,2.4597,2.511
1165183200,2.5022,2.5196,2.47925,2.4974
1166392800,2.4987,2.521,2.4766,2.4831
1167602400,2.4831,2.5085,2.45745,2.4995
1168812000,2.4985,2.54355,2.49255,2.5319
1170021600,2.5334,2.5499,2.4978,2.5116
1171231200,2.5109,2.52685,2.4665,2.4799
1172440800,2.4822,2.5021,2.4701,2.4767
1173646800,2.4783,2.4812,2.42055,2.4369
1174856400,2.4344,2.44678,2.40117,2.40787
1176066000,2.40758,2.41577,2.37791,2.39046
1177275600,2.39392,2.43399,2.39295,2.42533
1178485200,2.42754,2.42959,2.37326,2.39989
1179694800,2.39518,2.42924,2.37914,2.37973
1180904400,2.37984,2.39153,2.32927,2.34661
1182114000,2.35284,2.39162,2.34451,2.36506
1183323600,2.36598,2.36618,2.33341,2.3351
1184533200,2.335,2.38171,2.31062,2.3762
1185742800,2.37845,2.40279,2.35096,2.39574
1186952400,2.39133,2.56532,2.38018,2.43496
1188162000,2.43028,2.48593,2.42107,2.45427
1189371600,2.45443,2.48192,2.3111,2.3311
1190581200,2.33217,2.34283,2.26773,2.27513
1191790800,2.26987,2.3052,2.24323,2.30451
1193000400,2.3044,2.32034,2.2188,2.26312
1194213600,2.26813,2.35188,2.23134,2.30108
1195423200,2.29206,2.38911,2.28345,2.32493
1196632800,2.32694,2.36868,2.2911,2.34444
1197842400,2.33554,2.36101,2.26593,2.27916
1199052000,2.27445,2.28823,2.23044,2.26343
1199656800,2.26464,2.27427,2.16971,2.22421
1200866400,2.22709,2.28098,2.17269,2.17324
1202076000,2.17609,2.20053,2.14783,2.15744
1203285600,2.1551,2.15771,2.09526,2.13688
1204495200,2.13135,2.20127,2.10668,2.15467
1205701200,2.15134,2.21379,2.13323,2.17432
1206910800,2.17833,2.19079,2.11034,2.12215
1208120400,2.11997,2.15393,2.08338,2.12765
1209330000,2.12583,2.13651,2.06422,2.07106
1210539600,2.07442,2.09302,2.03247,2.06398
1211749200,2.06383,2.07525,2.02995,2.04721
1212958800,2.04792,2.09366,2.04347,2.07275
1214168400,2.07034,2.09705,2.05507,2.05751
1215378000,2.05927,2.0783,2.03966,2.06018
1216587600,2.054,2.1273,2.04026,2.1258
1217797200,2.12548,2.20493,2.10626,2.15463
1219006800,2.1509,2.16002,2.11283,2.12268
1220216400,2.11924,2.21414,2.09757,2.17828
1221426000,2.20029,2.31501,2.18094,2.21948
1222635600,2.21827,2.70969,2.19471,2.64865
1223845200,2.55052,2.64089,2.39802,2.55507
1225054800,2.55617,2.59474,2.27722,2.31998
1226268000,2.30449,2.43436,2.2192,2.35947
1227477600,2.35624,2.40916,2.24557,2.27292
1228687200,2.27149,2.30472,2.14055,2.19508
1229896800,2.18763,2.19842,2.0359,2.04556
1231106400,2.04314,2.23126,2.02368,2.18835
1232316000,2.19228,2.28774,2.0751,2.28774
1233525600,2.27359,2.28244,2.1737,2.18579
1234735200,2.18123,2.2648,2.1767,2.24039
1235944800,2.23604,2.25743,2.1117,2.12765
1237150800,2.13258,2.15021,2.05284,2.06296
1238360400,2.06838,2.10069,2.03317,2.03948
1239570000,2.01319,2.09105,2.01084,2.02948
1240779600,2.03184,2.08729,1.96925,1.98163
1241989200,1.98048,2.04527,1.97419,2.03558
1243198800,2.03804,2.06121,1.98793,2.01466
1244408400,2.00504,2.07724,1.99511,2.04549
1245618000,2.05123,2.08858,2.03238,2.04958
1246827600,2.05398,2.09801,2.02003,2.03576
1248037200,2.03826,2.03941,1.98287,1.99961
1249246800,2.00093,2.02727,1.95858,1.98679
1250456400,1.99207,2.01012,1.92857,1.93454
1251666000,1.93337,1.95844,1.90628,1.92944
1252875600,1.93456,1.94226,1.83479,1.83765
1254085200,1.83844,1.84725,1.75175,1.75342
1255294800,1.75159,1.80198,1.7332,1.7677
1256504400,1.77015,1.8361,1.75784,1.80793
1257717600,1.80566,1.81955,1.76987,1.80431
