time,open,high,low,close
1020027600,2.33145,2.34295,2.3291,2.3291
1021237200,2.3291,2.34135,2.2894,2.2965
1022446800,2.3061,2.3061,2.2725,2.2745
1023656400,2.2744,2.3125,2.2618,2.2618
1024866000,2.2621,2.2951,2.2611,2.2951
1026075600,2.2923,2.3056,2.2755,2.2755
1027285200,2.2745,2.3326,2.2745,2.308
1028494800,2.3074,2.3206,2.2841,2.2913
1029704400,2.2931,2.322,2.29005,2.322
1030914000,2.3227,2.3439,2.3012,2.3439
1032123600,2.3443,2.3443,2.30615,2.3324
1033333200,2.3312,2.3374,2.31405,2.3153
1034542800,2.3143,2.34445,2.30745,2.3309
1035756000,2.3254,2.3254,2.28195,2.2956
1036965600,2.2963,2.3334,2.2942,2.3334
1038175200,2.3331,2.3331,2.2965,2.2965
1039384800,2.2981,2.30485,2.27875,2.2828
1040594400,2.2809,2.2809,2.2281,2.2513
1041804000,2.2497,2.2497,2.2079,2.2079
1043013600,2.21,2.2465,2.1994,2.2465
1044223200,2.2428,2.2428,2.1942,2.1991
1045432800,2.2009,2.2009,2.129,2.129
1046642400,2.1324,2.1751,2.1118,2.1636
1047852000,2.1612,2.1922,2.1571,2.1571
1049061600,2.1535,2.1874,2.1363,2.1874
1050267600,2.1883,2.1883,2.1633,2.1674
1051477200,2.1671,2.1782,2.1036,2.1087
1052686800,2.1069,2.1489,2.1069,2.107
1053896400,2.1081,2.1924,2.1078,2.1924
1055106000,2.1883,2.2195,2.1655,2.2089
1056315600,2.2118,2.2506,2.2084,2.2478
1057525200,2.2478,2.2649,2.1666,2.1666
1058734800,2.152,2.208,2.152,2.1989
1059944400,2.1966,2.1968,2.1701,2.1883
1061154000,2.1899,2.2349,2.1899,2.2091
1062363600,2.2105,2.2239,2.1927,2.2099
1063573200,2.216,2.2439,2.206,2.2316
1064782800,2.2304,2.2304,2.1823,2.1848
1065992400,2.1836,2.2345,2.1836,2.2259
1067205600,2.2269,2.2971,2.2269,2.2802
1068415200,2.2846,2.2878,2.2036,2.211
1069624800,2.2125,2.2401,2.2043,2.2043
1070834400,2.2057,2.22145,2.1953,2.2177
1072044000,2.2136,2.2211,2.2085,2.2205
1073253600,2.2207,2.2774,2.2207,2.2774
1074463200,2.2783,2.2943,2.2643,2.2943
1075672800,2.2918,2.3345,2.2791,2.3345
1076882400,2.3313,2.3606,2.3313,2.3566
1078092000,2.3586,2.3827,2.301,2.3136
1079301600,2.3066,2.3317,2.3026,2.3317
1080511200,2.33,2.3774,2.33,2.3517
1081717200,2.3509,2.36415,2.3212,2.3288
1082926800,2.3359,2.3359,2.28505,2.3262
1084136400,2.3259,2.3259,2.25685,2.2931
1085346000,2.2922,2.30755,2.2812,2.2812
1086555600,2.28,2.3145,2.27265,2.2882
1087765200,2.2872,2.2883,2.2577,2.2577
1088974800,2.2554,2.295405,2.2554,2.2949
1090184400,2.295,2.3322,2.293,2.3322
1091394000,2.324,2.337505,2.2826,2.2826
1092603600,2.2826,2.2961,2.269705,2.2958
1093813200,2.2964,2.2982,2.2467,2.2607
1095022800,2.2615,2.2776,2.252105,2.2776
1096232400,2.2764,2.282605,2.2448,2.2448
1097442000,2.2425,2.2499,2.21445,2.225205
1098651600,2.2099,2.21565,2.1857,2.1857
1099864800,2.1826,2.19835,2.1577,2.1577
1101074400,2.1565,2.215655,2.155105,2.1975
1102284000,2.2002,2.2473,2.2002,2.2473
1103493600,2.2455,2.2455,2.1742,2.1861
1104703200,2.18895,2.2234,2.176155,2.2069
1105912800,2.2073,2.24235,2.19385,2.2402
1107122400,2.2413,2.27717,2.23375,2.2623
1108332000,2.2607,2.26625,2.20848,2.23021
1109541600,2.22841,2.2573,2.2134,2.21515
1110751200,2.215,2.24753,2.2127,2.24435
1111960800,2.2433,2.27623,2.2396,2.2577
1113166800,2.2567,2.28867,2.24935,2.2611
1114376400,2.2619,2.28525,2.2588,2.282
1115586000,2.2818,2.2832,2.2351,2.2544
1116795600,2.2545,2.2804,2.24255,2.274
1118005200,2.2725,2.32255,2.2677,2.3028
1119214800,2.3065,2.331155,2.28235,2.2915
1120424400,2.29165,2.296255,2.24315,2.2702
1121634000,2.27115,2.2755,2.2346,2.2665
1122843600,2.2643,2.26885,2.236005,2.2638
1124053200,2.2617,2.29305,2.2602,2.266
1125262800,2.2666,2.29115,2.25275,2.2868
1126472400,2.2889,2.30813,2.2835,2.29455
1127682000,2.28935,2.29845,2.2495,2.2506
1128891600,2.2528,2.29285,2.24515,2.2853
1130101200,2.2846,2.29035,2.26458,2.2877
1131314400,2.2881,2.29442,2.257,2.2574
1132524000,2.2578,2.28715,2.25195,2.2816
1133733600,2.2838,2.2942,2.2643,2.287
1134943200,2.2798,2.302125,2.25665,2.2638
1136152800,2.2622,2.2754,2.23701,2.2691
1137362400,2.2664,2.2719,2.245005,2.2708
1138572000,2.2687,2.29295,2.2575,2.2795
1139781600,2.2803,2.2998,2.2674,2.2993
1140991200,2.2976,2.30555,2.2696,2.2744
1142200800,2.2726,2.28931,2.26169,2.284
1143410400,2.28355,2.289805,2.24585,2.2671
1144616400,2.2676,2.27869,2.2587,2.2733
1145826000,2.2725,2.28418,2.25595,2.2798
