time,open,high,low,close
1020200400,1.4688,1.4688,1.4503,1.4568
1023051600,1.4563,1.5334,1.4563,1.5334
1025470800,1.5331,1.58415,1.5222,1.56425
1028149200,1.56425,1.5703,1.5201,1.5508
1030914000,1.5507,1.569,1.5409,1.569
1033419600,1.569,1.5706,1.5421,1.5647
1036101600,1.5647,1.5907,1.5471,1.5566
1038780000,1.5571,1.60465,1.5571,1.60465
1041372000,1.60465,1.654,1.59395,1.6472
1044223200,1.6481,1.6492,1.5739,1.5739
1046642400,1.5736,1.6128,1.5628,1.5834
1049148000,1.5834,1.598,1.5541,1.598
1051736400,1.598,1.6545,1.5968,1.6361
1054501200,1.62735,1.68425,1.62735,1.6551
1057006800,1.6551,1.6686,1.58065,1.6108
1059685200,1.6108,1.6182,1.56845,1.5778
1062363600,1.579,1.6669,1.5674,1.6619
1064955600,1.6619,1.69915,1.6611,1.6944
1067810400,1.6963,1.7217,1.66495,1.7217
1070229600,1.7211,1.7811,1.71895,1.7811
1072908000,1.7811,1.8485,1.7811,1.8249
1075672800,1.8242,1.9035,1.81935,1.8674
1078092000,1.8685,1.8685,1.8027,1.8456
1080770400,1.8456,1.85725,1.7713,1.7782
1083531600,1.7791,1.83765,1.75635,1.83205
1086037200,1.83205,1.843,1.8073,1.8204
1088629200,1.8204,1.8731,1.8169,1.8196
1091394000,1.8227,1.8436,1.7908,1.8025
1093986000,1.8025,1.8129,1.7732,1.8116
1096578000,1.8116,1.8411,1.7794,1.8372
1099260000,1.8385,1.9111,1.8334,1.9111
1101852000,1.9111,1.9458,1.9111,1.9187
1104703200,1.9194,1.92035,1.8526,1.8829
1107208800,1.8829,1.926,1.851,1.9211
1109628000,1.9211,1.9326,1.8595,1.8904
1112306400,1.8904,1.9219,1.8673,1.9088
1114981200,1.9074,1.9077,1.81045,1.8172
1117573200,1.8172,1.8403,1.7873,1.7917
1120165200,1.7917,1.7919,1.7274,1.7578
1122843600,1.7565,1.8179,1.7541,1.8041
1125522000,1.8041,1.8499,1.75685,1.7643
1128286800,1.763,1.79045,1.73915,1.76985
1130796000,1.76985,1.77945,1.70495,1.72935
1133388000,1.72935,1.78085,1.7132,1.7231
1136152800,1.7215,1.79345,1.71885,1.7794
1138744800,1.7794,1.78135,1.72825,1.75335
1141164000,1.75335,1.7623,1.72315,1.7374
1144011600,1.7369,1.8261,1.7251,1.8258
1146430800,1.8243,1.90255,1.82055,1.86983
1149109200,1.86983,1.88795,1.809075,1.84825
1151874000,1.84715,1.868855,1.817645,1.8678
1154379600,1.8678,1.91454,1.862835,1.90465
1157058000,1.90465,1.9081,1.86033,1.87232
1159736400,1.8763,1.90985,1.85172,1.9074
1162332000,1.9074,1.96995,1.88351,1.96593
1164924000,1.96593,1.9847,1.94345,1.95863
1167602400,1.95863,1.99167,1.92626,1.96518
1170280800,1.96518,1.974865,1.94026,1.96388
1172700000,1.96388,1.97269,1.91818,1.96796
1175461200,1.969,2.0133,1.959305,1.9995
1177966800,1.9995,2.00741,1.967655,1.97965
1180645200,1.97965,2.00868,1.962345,2.0086
1183323600,2.00895,2.065415,2.005845,2.03125
1185915600,2.03125,2.046255,1.9654,2.017
1188766800,2.0176,2.04913,1.988065,2.04729
1191186000,2.046,2.082375,2.024605,2.0798
1193864400,2.0798,2.116185,2.035385,2.05626
1196632800,2.05466,2.067905,1.97536,1.98494
1199138400,1.98494,1.99597,1.933725,1.98726
1201816800,1.98726,1.997295,1.936245,1.98918
1204495200,1.98889,2.039855,1.972185,1.98377
1206997200,1.98377,2.00502,1.960025,1.9869
1209589200,1.9869,1.99103,1.936415,1.98231
1212354000,1.97327,1.996675,1.940945,1.99241
1214859600,1.99241,2.01581,1.96488,1.98418
1217538000,1.98418,1.98418,1.81743,1.82113
1220216400,1.81519,1.86679,1.744525,1.7805
1222808400,1.7805,1.78745,1.52649,1.6077
1225663200,1.6082,1.64,1.455845,1.53698
1228082400,1.53658,1.57234,1.43533,1.46242
1230760800,1.46242,1.53747,1.350295,1.45402
1233525600,1.44725,1.498655,1.40496,1.43145
1235944800,1.4295,1.47783,1.36545,1.4324
1238533200,1.4324,1.50683,1.427285,1.47891
1241125200,1.47891,1.620005,1.47539,1.61887
1243803600,1.61959,1.67446,1.580265,1.64588
1246395600,1.64588,1.6734,1.59842,1.67137
1249246800,1.67218,1.7043,1.61534,1.62875
1251752400,1.62875,1.674195,1.577095,1.598185
1254344400,1.598185,1.66932,1.570815,1.64545
1257112800,1.64028,1.68781,1.62623,1.644115
1259618400,1.644115,1.67215,1.583315,1.61757
1262296800,1.61757,1.64582,1.589715,1.59868
1264975200,1.594595,1.607015,1.515295,1.52365
1267394400,1.5156,1.538195,1.47846,1.518365
1270069200,1.518365,1.552325,1.51261,1.52705
1272834000,1.53248,1.5333,1.42282,1.45379
1275339600,1.45379,1.512875,1.434605,1.494475
1277931600,1.494475,1.572245,1.487375,1.56887
1280696400,1.57111,1.599815,1.532685,1.534835
1283288400,1.534835,1.592275,1.529715,1.571605
1285880400,1.571605,1.61073,1.565025,1.60391
1288558800,1.60462,1.629955,1.54854,1.556205
1291154400,1.556205,1.59113,1.534505,1.56111
1294005600,1.55668,1.60593,1.540715,1.601325
1296511200,1.601325,1.62784,1.596335,1.625715
1298930400,1.625715,1.64009,1.59368,1.602825
1301605200,1.602825,1.67462,1.59728,1.67065
1304283600,1.67133,1.67386,1.60582,1.644805
1306875600,1.644805,1.6496,1.5912,1.605265
1309467600,1.605265,1.64706,1.57812,1.64261
1312146000,1.64264,1.66181,1.61117,1.625005
1314824400,1.625005,1.625825,1.532825,1.55838
1317589200,1.55512,1.61661,1.52716,1.60871
1320094800,1.60871,1.61304,1.54236,1.570285
1322690400,1.570285,1.57741,1.53621,1.55413
1325455200,1.55043,1.579655,1.52335,1.575945
1328047200,1.575945,1.59924,1.564495,1.591365
1330552800,1.591365,1.603725,1.56028,1.60142
1333314000,1.60245,1.630155,1.580565,1.623405
