time,open,high,low,close
1020632400,1.5849,1.60955,1.5849,1.5912
1021237200,1.5912,1.6145,1.5803,1.5803
1021842000,1.5811,1.5811,1.5693,1.5782
1022446800,1.5826,1.5826,1.56225,1.568
1023051600,1.5697,1.5697,1.5558,1.5578
1023656400,1.5584,1.56605,1.55535,1.5608
1024261200,1.5609,1.56265,1.5106,1.5106
1024866000,1.5108,1.51215,1.4807,1.4807
1025470800,1.4814,1.5077,1.4814,1.5077
1026075600,1.5059,1.5059,1.4821,1.4824
1026680400,1.4833,1.4833,1.4423,1.4423
1027285200,1.4419,1.46925,1.43935,1.4658
1027890000,1.46635,1.4866,1.46635,1.4702
1028494800,1.4695,1.5128,1.4695,1.5031
1029099600,1.5031,1.5031,1.4857,1.4886
1029704400,1.4898,1.51945,1.4898,1.5131
1030309200,1.5124,1.51425,1.49245,1.4973
1030914000,1.4979,1.4979,1.47085,1.4731
1031518800,1.4848,1.5109,1.4848,1.5109
1032123600,1.5114,1.5155,1.4819,1.4913
1032728400,1.4924,1.5027,1.4908,1.4943
1033333200,1.4932,1.4932,1.4747,1.4928
1033938000,1.4919,1.4981,1.4791,1.4823
1034542800,1.4815,1.5119,1.48125,1.5118
1035147600,1.5117,1.5117,1.5005,1.5032
1035756000,1.5027,1.5027,1.4668,1.4668
1036360800,1.4675,1.4675,1.4432,1.4432
1036965600,1.4437,1.4606,1.4437,1.4521
1037570400,1.4526,1.4765,1.4526,1.4765
1038175200,1.4771,1.4893,1.4771,1.483
1038780000,1.4833,1.4833,1.4573,1.4573
1039384800,1.4554,1.4617,1.4444,1.4444
1039989600,1.4426,1.4426,1.4229,1.4243
1040594400,1.4233,1.4233,1.3904,1.3904
1041199200,1.392,1.40235,1.3839,1.3989
1041804000,1.3976,1.3997,1.3799,1.3799
1042408800,1.3801,1.3865,1.3687,1.3687
1043013600,1.3708,1.3708,1.3532,1.3532
1043618400,1.3528,1.3642,1.3524,1.3642
1044223200,1.3612,1.3613,1.3469,1.3547
1044828000,1.3568,1.3704,1.355,1.3622
1045432800,1.3663,1.3762,1.3573,1.3655
1046037600,1.3696,1.3696,1.3527,1.3527
1046642400,1.3551,1.3551,1.3312,1.3358
1047247200,1.3355,1.3666,1.325,1.3666
1047852000,1.3628,1.4029,1.3628,1.4029
1048456800,1.3925,1.3925,1.3699,1.3699
1049061600,1.36765,1.3856,1.3504,1.3856
1049662800,1.3931,1.3931,1.38,1.3929
1050267600,1.3941,1.3941,1.3707,1.38165
1050872400,1.38015,1.38775,1.36135,1.3618
1051477200,1.36055,1.3715,1.34385,1.3439
1052082000,1.3445,1.3445,1.313,1.3141
1052686800,1.3102,1.3249,1.3074,1.3074
1053291600,1.29655,1.3003,1.2886,1.2886
1053896400,1.29065,1.2979,1.28355,1.2979
1054501200,1.30515,1.3198,1.3005,1.3198
1055106000,1.32015,1.32015,1.298,1.298
1055710800,1.29725,1.3284,1.29725,1.3284
1056315600,1.33205,1.35135,1.32375,1.35
1056920400,1.35005,1.3513,1.34315,1.3489
1057525200,1.3489,1.3755,1.3489,1.3755
1058130000,1.37625,1.3856,1.3622,1.3622
1058734800,1.3618,1.3619,1.3443,1.3443
1059339600,1.34725,1.37095,1.3461,1.3648
1059944400,1.3635,1.3635,1.3466,1.3595
1060549200,1.3603,1.3709,1.35835,1.3709
1061154000,1.3717,1.4175,1.3717,1.4175
1061758800,1.4205,1.4205,1.4002,1.4002
1062363600,1.4,1.41885,1.3826,1.3826
1062968400,1.3833,1.391,1.3786,1.3791
1063573200,1.3804,1.3897,1.3681,1.3681
1064178000,1.3606,1.3606,1.3436,1.345
1064782800,1.3455,1.3455,1.3135,1.337
1065387600,1.3373,1.3373,1.3126,1.3132
1065992400,1.3119,1.3358,1.3119,1.3281
1066597200,1.326,1.3327,1.3131,1.3131
1067205600,1.3149,1.3407,1.3149,1.3407
1067810400,1.3394,1.3777,1.3394,1.3619
1068415200,1.3641,1.3688,1.3269,1.3269
1069020000,1.3268,1.3268,1.2946,1.298
1069624800,1.2983,1.321,1.2912,1.2912
1070229600,1.2926,1.2976,1.2747,1.2747
1070834400,1.2753,1.2753,1.2616,1.2616
1071439200,1.27735,1.27735,1.24845,1.2557
1072044000,1.2527,1.2591,1.2474,1.2541
1072648800,1.2517,1.2517,1.2383,1.2383
1073253600,1.2395,1.23975,1.2202,1.2202
1073858400,1.2209,1.2679,1.2209,1.2679
1074463200,1.2658,1.27015,1.23405,1.2423
1075068000,1.2426,1.25885,1.24045,1.2573
