date,open,high,low,close,volume,<VOL>,<SPREAD>,candle_type,body_ratio
2017-01-02,1.05158,1.05275,1.0448,1.04539,77112,61544915000,0,decisive,0.7786163522012354
2017-01-03,1.04535,1.049,1.03399,1.04029,233410,124185466000,0,base,0.33710859427049134
2017-01-04,1.04042,1.05013,1.03895,1.04892,231288,120315486000,0,decisive,0.7602862254025222
2017-01-05,1.04873,1.06152,1.04804,1.06058,285404,139727540000,0,explosive,0.8790801186943764
2017-01-06,1.06023,1.06207,1.05247,1.05307,244615,117842463000,0,decisive,0.745833333333335
2017-01-08,1.05309,1.05359,1.05259,1.05294,3047,0,0,base,0.1500000000000777
2017-01-09,1.05299,1.0589,1.05104,1.05704,214533,100306577000,0,decisive,0.5152671755725061
2017-01-10,1.05735,1.06269,1.05506,1.05538,248137,114267542000,0,base,0.2581913499344794
2017-01-11,1.05535,1.0623,1.04534,1.05814,299714,146740178000,0,base,0.1645047169811354
2017-01-12,1.05794,1.06847,1.0571,1.0612,308351,138406181000,0,base,0.28671943711519693
2017-01-13,1.06119,1.06735,1.05959,1.06389,234532,103682096000,0,base,0.3479381443298877
2017-01-15,1.06241,1.06357,1.06129,1.06274,4281,0,0,base,0.1447368421052478
2017-01-16,1.06276,1.06355,1.05789,1.06019,199156,91837625000,0,base,0.454063604240276
2017-01-17,1.06004,1.07191,1.05966,1.07119,289651,135511152000,0,explosive,0.910204081632662
2017-01-18,1.07105,1.0715,1.06243,1.06289,247584,119433465000,0,explosive,0.8996692392503028
2017-01-19,1.06284,1.06766,1.05888,1.06627,281388,134849320000,0,base,0.3906605922551299
2017-01-20,1.06622,1.07094,1.06248,1.07038,269373,144074189000,0,base,0.49172576832153747
2017-01-22,1.06895,1.07166,1.06895,1.07126,5170,0,0,explosive,0.8523985239852556
2017-01-23,1.0693,1.07721,1.0693,1.07673,265318,132588009000,0,explosive,0.9393173198482894
2017-01-24,1.07647,1.07749,1.07199,1.07313,243006,123781596000,0,decisive,0.6072727272727425
2017-01-25,1.07283,1.07698,1.07109,1.07465,236721,120109747000,0,base,0.30899830220715957
2017-01-26,1.07527,1.07656,1.06572,1.06714,247244,128780232000,0,decisive,0.75
2017-01-27,1.06792,1.07249,1.06579,1.06964,216786,113014766000,0,base,0.25671641791044214
2017-01-29,1.0714,1.07201,1.07079,1.0717,4324,0,0,base,0.24590163934441744
2017-01-30,1.07145,1.07402,1.062,1.06936,225658,110209633000,0,base,0.1738768718801946
2017-01-31,1.06935,1.08123,1.06843,1.07966,285079,151025663000,0,explosive,0.8054687500000081
2017-02-01,1.0796,1.08073,1.07294,1.07681,250398,133899300000,0,base,0.3581514762515868
2017-02-02,1.07677,1.08287,1.07556,1.07577,254844,131827220000,0,base,0.13679890560877178
2017-02-03,1.07593,1.07976,1.07106,1.07849,231559,119017206000,0,base,0.29425287356320123
2017-02-05,1.07897,1.07907,1.0778,1.07824,2051,0,0,decisive,0.5748031496062717
2017-02-06,1.07896,1.07901,1.07053,1.07508,217405,115200340000,0,base,0.4575471698113047
2017-02-07,1.07448,1.0749,1.06558,1.0678,224358,111916913000,0,decisive,0.7167381974248952
2017-02-08,1.06763,1.07138,1.06402,1.06962,225654,108402024000,0,base,0.2703804347825988
2017-02-09,1.06972,1.07094,1.06505,1.06555,213647,100528806000,0,decisive,0.7079796264855759
2017-02-10,1.06547,1.06675,1.06072,1.0638,218716,113981955000,0,base,0.2769485903814003
2017-02-12,1.06294,1.06367,1.06175,1.06188,3075,0,0,decisive,0.5520833333333875
2017-02-13,1.06347,1.06584,1.05917,1.05965,190123,106469214000,0,decisive,0.572713643178405
2017-02-14,1.05976,1.06333,1.05607,1.05769,205139,103062585000,0,base,0.28512396694214925
2017-02-15,1.05777,1.06093,1.0521,1.05984,214471,115723385000,0,base,0.2344280860701947
2017-02-16,1.06007,1.06792,1.05906,1.06747,213913,116164179000,0,explosive,0.8352144469525706
2017-02-17,1.06719,1.06765,1.06051,1.06105,192775,104344144000,0,explosive,0.8599439775910503
2017-02-19,1.06064,1.06328,1.06038,1.0625,3757,0,0,decisive,0.6413793103448397
2017-02-20,1.06073,1.06326,1.06029,1.06105,150228,84800490000,0,base,0.10774410774413569
2017-02-21,1.06097,1.06149,1.05255,1.05351,189923,100365714000,0,explosive,0.8344519015660029
2017-02-22,1.05395,1.05738,1.04933,1.05581,215028,109107415000,0,base,0.23105590062111778
2017-02-23,1.05587,1.0595,1.05373,1.05786,188675,94379220000,0,base,0.3448873483535387
2017-02-24,1.05786,1.06178,1.05562,1.05569,187500,99732937000,0,base,0.35227272727273135
2017-02-26,1.05608,1.05645,1.05517,1.0552,3876,0,0,decisive,0.6875000000000216
2017-02-27,1.05626,1.06306,1.05511,1.05855,185985,97200627000,0,base,0.2880503144654281
2017-02-28,1.05877,1.06302,1.05667,1.05777,203764,105024057000,0,base,0.15748031496061066
2017-03-01,1.05739,1.05891,1.05138,1.05446,243454,126521284000,0,base,0.3891102257636235
2017-03-02,1.05459,1.05512,1.04946,1.05068,195975,104553958000,0,decisive,0.6908127208480317
